vaf_values	ng_range	score	w_comp	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR
0.1_0.125 	4.0_64.0	1.0	0.7	37	1391	13705	29	25	4	0.561	0.908	0.906	0.469	0.026	0.561	0.05	0.974
0.1_0.125 	8.0_64.0	1.0	0.7	29	941	8793	15	13	2	0.659	0.903	0.902	0.562	0.03	0.659	0.057	0.97
0.25      	4.0_64.0	1.0	0.7	39	196	4329	27	19	8	0.591	0.957	0.951	0.548	0.166	0.591	0.259	0.834
0.25      	8.0_64.0	1.0	0.7	30	106	2483	14	9	5	0.682	0.959	0.954	0.641	0.221	0.682	0.334	0.779
0.375     	4.0_64.0	1.0	0.7	38	12	426	16	11	5	0.704	0.973	0.943	0.677	0.76	0.704	0.731	0.24
0.375     	8.0_64.0	1.0	0.7	27	5	242	9	7	2	0.75	0.98	0.951	0.73	0.844	0.75	0.794	0.156
0.5       	4.0_64.0	1.0	0.7	60	10	788	18	11	7	0.769	0.987	0.968	0.756	0.857	0.769	0.811	0.143
0.5       	8.0_64.0	1.0	0.7	42	5	426	10	6	4	0.808	0.988	0.969	0.796	0.894	0.808	0.849	0.106
0.7_0.75  	4.0_64.0	1.0	0.7	52	10	262	14	9	5	0.788	0.963	0.929	0.751	0.839	0.788	0.813	0.161
0.7_0.75  	8.0_64.0	1.0	0.7	35	6	140	9	6	3	0.795	0.959	0.921	0.754	0.854	0.795	0.823	0.146
1.0       	4.0_64.0	1.0	0.7	54	10	144	12	9	3	0.818	0.935	0.9	0.753	0.844	0.818	0.831	0.156
1.0       	8.0_64.0	1.0	0.7	36	7	78	8	6	2	0.818	0.918	0.884	0.736	0.837	0.818	0.827	0.163
0.1_0.125 	4.0_64.0	1.0	0.8	37	1323	13773	29	25	4	0.561	0.912	0.911	0.473	0.027	0.561	0.052	0.973
0.1_0.125 	8.0_64.0	1.0	0.8	29	893	8841	15	13	2	0.659	0.908	0.907	0.567	0.031	0.659	0.059	0.969
0.25      	4.0_64.0	1.0	0.8	36	177	4348	30	19	11	0.545	0.961	0.955	0.506	0.169	0.545	0.258	0.831
0.25      	8.0_64.0	1.0	0.8	27	93	2496	17	9	8	0.614	0.964	0.958	0.578	0.225	0.614	0.329	0.775
0.375     	4.0_64.0	1.0	0.8	37	10	428	17	11	6	0.685	0.977	0.945	0.662	0.787	0.685	0.732	0.213
0.375     	8.0_64.0	1.0	0.8	26	3	244	10	7	3	0.722	0.988	0.954	0.71	0.897	0.722	0.8	0.103
0.5       	4.0_64.0	1.0	0.8	60	10	788	18	11	7	0.769	0.987	0.968	0.756	0.857	0.769	0.811	0.143
0.5       	8.0_64.0	1.0	0.8	42	5	426	10	6	4	0.808	0.988	0.969	0.796	0.894	0.808	0.849	0.106
0.7_0.75  	4.0_64.0	1.0	0.8	51	9	263	15	9	6	0.773	0.967	0.929	0.74	0.85	0.773	0.81	0.15
0.7_0.75  	8.0_64.0	1.0	0.8	35	5	141	9	6	3	0.795	0.966	0.926	0.761	0.875	0.795	0.833	0.125
1.0       	4.0_64.0	1.0	0.8	54	10	144	12	9	3	0.818	0.935	0.9	0.753	0.844	0.818	0.831	0.156
